STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_1	ANTALL
2020	03	ald15_24	0	901
2020	03	ald15_24	1	359
2020	03	ald15_24	2	4819
2020	03	ald15_24	3	3830
2020	03	ald15_24	4	3647
2020	03	ald15_24	5	19043
2020	03	ald15_24	6	60
2020	03	ald15_24	7	2058
2020	03	ald15_24	8	602
2020	03	ald15_24	9	1876
2020	03	ald25_54	0	2132
2020	03	ald25_54	1	25066
2020	03	ald25_54	2	108277
2020	03	ald25_54	3	43628
2020	03	ald25_54	4	17428
2020	03	ald25_54	5	38407
2020	03	ald25_54	6	234
2020	03	ald25_54	7	10278
2020	03	ald25_54	8	5769
2020	03	ald25_54	9	9432
2020	03	ald55_66	0	168
2020	03	ald55_66	1	7817
2020	03	ald55_66	2	17601
2020	03	ald55_66	3	7685
2020	03	ald55_66	4	3558
2020	03	ald55_66	5	5486
2020	03	ald55_66	6	52
2020	03	ald55_66	7	1704
2020	03	ald55_66	8	1383
2020	03	ald55_66	9	1726
2020	03	ald67_74	0	29
2020	03	ald67_74	1	758
2020	03	ald67_74	2	1813
2020	03	ald67_74	3	605
2020	03	ald67_74	4	363
2020	03	ald67_74	5	519
2020	03	ald67_74	6	7
2020	03	ald67_74	7	129
2020	03	ald67_74	8	157
2020	03	ald67_74	9	140
2020	11	ald15_24	0	1062
2020	11	ald15_24	1	137
2020	11	ald15_24	2	2058
2020	11	ald15_24	3	1933
2020	11	ald15_24	4	1757
2020	11	ald15_24	5	13722
2020	11	ald15_24	6	1207
2020	11	ald15_24	7	4384
2020	11	ald15_24	8	1895
2020	11	ald15_24	9	2114
2020	11	ald25_54	0	646
2020	11	ald25_54	1	13179
2020	11	ald25_54	2	43086
2020	11	ald25_54	3	27166
2020	11	ald25_54	4	8653
2020	11	ald25_54	5	27254
2020	11	ald25_54	6	1290
2020	11	ald25_54	7	15895
2020	11	ald25_54	8	10675
2020	11	ald25_54	9	7312
2020	11	ald55_66	0	162
2020	11	ald55_66	1	5434
2020	11	ald55_66	2	10234
2020	11	ald55_66	3	6940
2020	11	ald55_66	4	2825
2020	11	ald55_66	5	7120
2020	11	ald55_66	6	313
2020	11	ald55_66	7	2910
2020	11	ald55_66	8	2957
2020	11	ald55_66	9	1742
2020	11	ald67_74	0	35
2020	11	ald67_74	1	464
2020	11	ald67_74	2	746
2020	11	ald67_74	3	450
2020	11	ald67_74	4	250
2020	11	ald67_74	5	798
2020	11	ald67_74	6	136
2020	11	ald67_74	7	213
2020	11	ald67_74	8	336
2020	11	ald67_74	9	169
2020	15	ald15_24	0	783
2020	15	ald15_24	1	67
2020	15	ald15_24	2	891
2020	15	ald15_24	3	879
2020	15	ald15_24	4	783
2020	15	ald15_24	5	7372
2020	15	ald15_24	6	456
2020	15	ald15_24	7	2380
2020	15	ald15_24	8	1232
2020	15	ald15_24	9	1388
2020	15	ald25_54	0	475
2020	15	ald25_54	1	6852
2020	15	ald25_54	2	19046
2020	15	ald25_54	3	12848
2020	15	ald25_54	4	4355
2020	15	ald25_54	5	14816
2020	15	ald25_54	6	750
2020	15	ald25_54	7	8548
2020	15	ald25_54	8	7595
2020	15	ald25_54	9	3808
2020	15	ald55_66	0	172
2020	15	ald55_66	1	3271
2020	15	ald55_66	2	4881
2020	15	ald55_66	3	3996
2020	15	ald55_66	4	1760
2020	15	ald55_66	5	5171
2020	15	ald55_66	6	157
2020	15	ald55_66	7	2186
2020	15	ald55_66	8	2621
2020	15	ald55_66	9	1157
2020	15	ald67_74	0	57
2020	15	ald67_74	1	398
2020	15	ald67_74	2	462
2020	15	ald67_74	3	335
2020	15	ald67_74	4	197
2020	15	ald67_74	5	893
2020	15	ald67_74	6	50
2020	15	ald67_74	7	173
2020	15	ald67_74	8	388
2020	15	ald67_74	9	189
2020	18	ald15_24	0	677
2020	18	ald15_24	1	85
2020	18	ald15_24	2	811
2020	18	ald15_24	3	640
2020	18	ald15_24	4	650
2020	18	ald15_24	5	7011
2020	18	ald15_24	6	554
2020	18	ald15_24	7	2184
2020	18	ald15_24	8	1153
2020	18	ald15_24	9	1402
2020	18	ald25_54	0	979
2020	18	ald25_54	1	5953
2020	18	ald25_54	2	18106
2020	18	ald25_54	3	9046
2020	18	ald25_54	4	3894
2020	18	ald25_54	5	14635
2020	18	ald25_54	6	1064
2020	18	ald25_54	7	6596
2020	18	ald25_54	8	6107
2020	18	ald25_54	9	4008
2020	18	ald55_66	0	215
2020	18	ald55_66	1	2814
2020	18	ald55_66	2	5441
2020	18	ald55_66	3	3109
2020	18	ald55_66	4	1625
2020	18	ald55_66	5	4731
2020	18	ald55_66	6	192
2020	18	ald55_66	7	1510
2020	18	ald55_66	8	1954
2020	18	ald55_66	9	1226
2020	18	ald67_74	0	37
2020	18	ald67_74	1	245
2020	18	ald67_74	2	448
2020	18	ald67_74	3	245
2020	18	ald67_74	4	158
2020	18	ald67_74	5	777
2020	18	ald67_74	6	44
2020	18	ald67_74	7	153
2020	18	ald67_74	8	339
2020	18	ald67_74	9	218
2020	30	ald15_24	0	2921
2020	30	ald15_24	1	398
2020	30	ald15_24	2	4380
2020	30	ald15_24	3	4676
2020	30	ald15_24	4	5074
2020	30	ald15_24	5	32551
2020	30	ald15_24	6	622
2020	30	ald15_24	7	8389
2020	30	ald15_24	8	2285
2020	30	ald15_24	9	5135
2020	30	ald25_54	0	3346
2020	30	ald25_54	1	39240
2020	30	ald25_54	2	107979
2020	30	ald25_54	3	64084
2020	30	ald25_54	4	29761
2020	30	ald25_54	5	70181
2020	30	ald25_54	6	1444
2020	30	ald25_54	7	31682
2020	30	ald25_54	8	19740
2020	30	ald25_54	9	17224
2020	30	ald55_66	0	684
2020	30	ald55_66	1	16593
2020	30	ald55_66	2	29819
2020	30	ald55_66	3	19363
2020	30	ald55_66	4	9669
2020	30	ald55_66	5	18564
2020	30	ald55_66	6	364
2020	30	ald55_66	7	6586
2020	30	ald55_66	8	6675
2020	30	ald55_66	9	4061
2020	30	ald67_74	0	114
2020	30	ald67_74	1	1518
2020	30	ald67_74	2	2416
2020	30	ald67_74	3	1458
2020	30	ald67_74	4	934
2020	30	ald67_74	5	2388
2020	30	ald67_74	6	98
2020	30	ald67_74	7	512
2020	30	ald67_74	8	972
2020	30	ald67_74	9	591
2020	34	ald15_24	0	956
2020	34	ald15_24	1	102
2020	34	ald15_24	2	1302
2020	34	ald15_24	3	1073
2020	34	ald15_24	4	1161
2020	34	ald15_24	5	10084
2020	34	ald15_24	6	740
2020	34	ald15_24	7	3194
2020	34	ald15_24	8	1463
2020	34	ald15_24	9	1804
2020	34	ald25_54	0	1470
2020	34	ald25_54	1	8529
2020	34	ald25_54	2	26411
2020	34	ald25_54	3	13518
2020	34	ald25_54	4	5399
2020	34	ald25_54	5	21876
2020	34	ald25_54	6	867
2020	34	ald25_54	7	10124
2020	34	ald25_54	8	9171
2020	34	ald25_54	9	5541
2020	34	ald55_66	0	221
2020	34	ald55_66	1	3921
2020	34	ald55_66	2	7872
2020	34	ald55_66	3	4957
2020	34	ald55_66	4	2397
2020	34	ald55_66	5	7790
2020	34	ald55_66	6	294
2020	34	ald55_66	7	2430
2020	34	ald55_66	8	3470
2020	34	ald55_66	9	1995
2020	34	ald67_74	0	47
2020	34	ald67_74	1	378
2020	34	ald67_74	2	735
2020	34	ald67_74	3	381
2020	34	ald67_74	4	280
2020	34	ald67_74	5	1126
2020	34	ald67_74	6	156
2020	34	ald67_74	7	246
2020	34	ald67_74	8	554
2020	34	ald67_74	9	350
2020	38	ald15_24	0	959
2020	38	ald15_24	1	141
2020	38	ald15_24	2	1364
2020	38	ald15_24	3	1303
2020	38	ald15_24	4	1298
2020	38	ald15_24	5	11211
2020	38	ald15_24	6	254
2020	38	ald15_24	7	3222
2020	38	ald15_24	8	1406
2020	38	ald15_24	9	2018
2020	38	ald25_54	0	613
2020	38	ald25_54	1	10244
2020	38	ald25_54	2	31053
2020	38	ald25_54	3	18531
2020	38	ald25_54	4	6898
2020	38	ald25_54	5	25300
2020	38	ald25_54	6	584
2020	38	ald25_54	7	11835
2020	38	ald25_54	8	9314
2020	38	ald25_54	9	6114
2020	38	ald55_66	0	153
2020	38	ald55_66	1	5054
2020	38	ald55_66	2	8904
2020	38	ald55_66	3	6323
2020	38	ald55_66	4	2763
2020	38	ald55_66	5	7784
2020	38	ald55_66	6	162
2020	38	ald55_66	7	2765
2020	38	ald55_66	8	3116
2020	38	ald55_66	9	1681
2020	38	ald67_74	0	28
2020	38	ald67_74	1	528
2020	38	ald67_74	2	837
2020	38	ald67_74	3	484
2020	38	ald67_74	4	294
2020	38	ald67_74	5	986
2020	38	ald67_74	6	42
2020	38	ald67_74	7	231
2020	38	ald67_74	8	428
2020	38	ald67_74	9	227
2020	42	ald15_24	0	628
2020	42	ald15_24	1	104
2020	42	ald15_24	2	1201
2020	42	ald15_24	3	974
2020	42	ald15_24	4	1165
2020	42	ald15_24	5	9364
2020	42	ald15_24	6	261
2020	42	ald15_24	7	2732
2020	42	ald15_24	8	1140
2020	42	ald15_24	9	1705
2020	42	ald25_54	0	466
2020	42	ald25_54	1	7523
2020	42	ald25_54	2	23483
2020	42	ald25_54	3	13498
2020	42	ald25_54	4	5132
2020	42	ald25_54	5	18374
2020	42	ald25_54	6	383
2020	42	ald25_54	7	9105
2020	42	ald25_54	8	6623
2020	42	ald25_54	9	4212
2020	42	ald55_66	0	134
2020	42	ald55_66	1	3254
2020	42	ald55_66	2	5888
2020	42	ald55_66	3	3952
2020	42	ald55_66	4	1934
2020	42	ald55_66	5	5330
2020	42	ald55_66	6	83
2020	42	ald55_66	7	1909
2020	42	ald55_66	8	2216
2020	42	ald55_66	9	1214
2020	42	ald67_74	0	22
2020	42	ald67_74	1	312
2020	42	ald67_74	2	556
2020	42	ald67_74	3	339
2020	42	ald67_74	4	196
2020	42	ald67_74	5	695
2020	42	ald67_74	6	33
2020	42	ald67_74	7	151
2020	42	ald67_74	8	316
2020	42	ald67_74	9	152
2020	46	ald15_24	0	1725
2020	46	ald15_24	1	257
2020	46	ald15_24	2	2650
2020	46	ald15_24	3	2339
2020	46	ald15_24	4	2281
2020	46	ald15_24	5	18717
2020	46	ald15_24	6	978
2020	46	ald15_24	7	5993
2020	46	ald15_24	8	2601
2020	46	ald15_24	9	3224
2020	46	ald25_54	0	2253
2020	46	ald25_54	1	16552
2020	46	ald25_54	2	58501
2020	46	ald25_54	3	31799
2020	46	ald25_54	4	10580
2020	46	ald25_54	5	36555
2020	46	ald25_54	6	1704
2020	46	ald25_54	7	19168
2020	46	ald25_54	8	14048
2020	46	ald25_54	9	9838
2020	46	ald55_66	0	325
2020	46	ald55_66	1	7117
2020	46	ald55_66	2	14835
2020	46	ald55_66	3	8869
2020	46	ald55_66	4	3715
2020	46	ald55_66	5	10502
2020	46	ald55_66	6	404
2020	46	ald55_66	7	4349
2020	46	ald55_66	8	4412
2020	46	ald55_66	9	2441
2020	46	ald67_74	0	42
2020	46	ald67_74	1	675
