STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_2	antall
2015	01	ald15_24	00	114
2015	01	ald15_24	01	25
2015	01	ald15_24	02	44
2015	01	ald15_24	03	441
2015	01	ald15_24	11	17
2015	01	ald15_24	12	10
2015	01	ald15_24	13	9
2015	01	ald15_24	14	56
2015	01	ald15_24	21	26
2015	01	ald15_24	22	232
2015	01	ald15_24	23	220
2015	01	ald15_24	24	26
2015	01	ald15_24	25	26
2015	01	ald15_24	26	47
2015	01	ald15_24	31	78
2015	01	ald15_24	32	130
2015	01	ald15_24	33	324
2015	01	ald15_24	34	244
2015	01	ald15_24	35	60
2015	01	ald15_24	41	268
2015	01	ald15_24	42	214
2015	01	ald15_24	43	290
2015	01	ald15_24	44	60
2015	01	ald15_24	51	660
2015	01	ald15_24	52	3808
2015	01	ald15_24	53	2223
2015	01	ald15_24	54	114
2015	01	ald15_24	61	194
2015	01	ald15_24	62	4
2015	01	ald15_24	71	792
2015	01	ald15_24	72	550
2015	01	ald15_24	73	13
2015	01	ald15_24	74	500
2015	01	ald15_24	75	41
2015	01	ald15_24	81	520
2015	01	ald15_24	82	18
2015	01	ald15_24	83	267
2015	01	ald15_24	91	435
2015	01	ald15_24	92	64
2015	01	ald15_24	93	419
2015	01	ald15_24	94	348
2015	01	ald15_24	96	112
2015	01	ald25_54	00	232
2015	01	ald25_54	01	400
2015	01	ald25_54	02	7
2015	01	ald25_54	03	16
2015	01	ald25_54	11	1198
2015	01	ald25_54	12	1160
2015	01	ald25_54	13	2298
2015	01	ald25_54	14	1261
2015	01	ald25_54	21	1290
2015	01	ald25_54	22	4833
2015	01	ald25_54	23	5791
2015	01	ald25_54	24	2247
2015	01	ald25_54	25	830
2015	01	ald25_54	26	1343
2015	01	ald25_54	31	2654
2015	01	ald25_54	32	1195
2015	01	ald25_54	33	4818
2015	01	ald25_54	34	978
2015	01	ald25_54	35	427
2015	01	ald25_54	41	1973
2015	01	ald25_54	42	774
2015	01	ald25_54	43	2116
