STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_3	ANTALL
2018	01	ald15_24	000	177
2018	01	ald15_24	011	12
2018	01	ald15_24	021	25
2018	01	ald15_24	031	443
2018	01	ald15_24	111	5
2018	01	ald15_24	112	16
2018	01	ald15_24	122	9
2018	01	ald15_24	132	5
2018	01	ald15_24	141	5
2018	01	ald15_24	142	30
2018	01	ald15_24	214	13
2018	01	ald15_24	216	16
2018	01	ald15_24	222	281
2018	01	ald15_24	226	16
2018	01	ald15_24	231	67
2018	01	ald15_24	233	8
2018	01	ald15_24	234	238
2018	01	ald15_24	235	38
2018	01	ald15_24	241	12
2018	01	ald15_24	242	46
2018	01	ald15_24	243	22
2018	01	ald15_24	251	42
2018	01	ald15_24	262	5
2018	01	ald15_24	263	28
2018	01	ald15_24	264	28
2018	01	ald15_24	265	18
2018	01	ald15_24	311	85
2018	01	ald15_24	314	10
2018	01	ald15_24	321	31
2018	01	ald15_24	324	10
2018	01	ald15_24	325	72
2018	01	ald15_24	331	34
2018	01	ald15_24	332	178
2018	01	ald15_24	333	114
2018	01	ald15_24	334	13
2018	01	ald15_24	335	44
2018	01	ald15_24	341	39
2018	01	ald15_24	342	314
2018	01	ald15_24	343	17
2018	01	ald15_24	351	95
2018	01	ald15_24	352	13
2018	01	ald15_24	411	310
2018	01	ald15_24	421	13
2018	01	ald15_24	422	242
2018	01	ald15_24	431	35
2018	01	ald15_24	432	389
2018	01	ald15_24	441	28
2018	01	ald15_24	511	16
2018	01	ald15_24	512	207
2018	01	ald15_24	513	448
2018	01	ald15_24	514	146
2018	01	ald15_24	515	111
2018	01	ald15_24	516	25
2018	01	ald15_24	522	3414
2018	01	ald15_24	523	13
2018	01	ald15_24	524	503
2018	01	ald15_24	531	787
2018	01	ald15_24	532	1815
2018	01	ald15_24	541	192
2018	01	ald15_24	611	67
2018	01	ald15_24	612	46
2018	01	ald15_24	613	66
2018	01	ald15_24	621	5
2018	01	ald15_24	711	504
2018	01	ald15_24	712	253
2018	01	ald15_24	713	54
2018	01	ald15_24	721	115
2018	01	ald15_24	722	50
2018	01	ald15_24	723	468
2018	01	ald15_24	731	5
2018	01	ald15_24	732	20
2018	01	ald15_24	741	516
2018	01	ald15_24	742	86
2018	01	ald15_24	751	16
2018	01	ald15_24	752	11
2018	01	ald15_24	753	7
2018	01	ald15_24	754	21
2018	01	ald15_24	811	30
2018	01	ald15_24	812	31
2018	01	ald15_24	813	114
2018	01	ald15_24	814	44
2018	01	ald15_24	815	29
2018	01	ald15_24	816	175
2018	01	ald15_24	817	93
2018	01	ald15_24	818	20
2018	01	ald15_24	821	26
2018	01	ald15_24	832	74
2018	01	ald15_24	833	61
2018	01	ald15_24	834	109
2018	01	ald15_24	835	13
2018	01	ald15_24	911	375
2018	01	ald15_24	912	32
2018	01	ald15_24	921	70
2018	01	ald15_24	931	347
2018	01	ald15_24	932	103
2018	01	ald15_24	933	132
2018	01	ald15_24	941	409
2018	01	ald15_24	961	31
2018	01	ald15_24	962	194
2018	01	ald25_54	000	329
2018	01	ald25_54	011	371
2018	01	ald25_54	021	12
2018	01	ald25_54	031	42
2018	01	ald25_54	111	87
2018	01	ald25_54	112	1202
2018	01	ald25_54	121	918
2018	01	ald25_54	122	663
2018	01	ald25_54	131	28
2018	01	ald25_54	132	1301
2018	01	ald25_54	133	141
2018	01	ald25_54	134	1227
2018	01	ald25_54	141	83
2018	01	ald25_54	142	1317
2018	01	ald25_54	143	83
2018	01	ald25_54	211	63
2018	01	ald25_54	212	13
2018	01	ald25_54	213	37
2018	01	ald25_54	214	1162
2018	01	ald25_54	215	173
2018	01	ald25_54	216	414
2018	01	ald25_54	221	585
2018	01	ald25_54	222	4216
2018	01	ald25_54	225	53
2018	01	ald25_54	226	458
2018	01	ald25_54	231	337
2018	01	ald25_54	232	28
2018	01	ald25_54	233	1065
2018	01	ald25_54	234	4880
2018	01	ald25_54	235	287
2018	01	ald25_54	241	802
2018	01	ald25_54	242	2212
2018	01	ald25_54	243	417
2018	01	ald25_54	251	1293
2018	01	ald25_54	252	113
2018	01	ald25_54	261	203
2018	01	ald25_54	262	99
2018	01	ald25_54	263	923
2018	01	ald25_54	264	285
2018	01	ald25_54	265	88
2018	01	ald25_54	311	2724
2018	01	ald25_54	312	477
2018	01	ald25_54	313	95
2018	01	ald25_54	314	114
2018	01	ald25_54	315	169
2018	01	ald25_54	321	455
2018	01	ald25_54	323	12
2018	01	ald25_54	324	85
2018	01	ald25_54	325	900
2018	01	ald25_54	331	969
2018	01	ald25_54	332	2280
2018	01	ald25_54	333	737
2018	01	ald25_54	334	456
2018	01	ald25_54	335	1419
2018	01	ald25_54	341	686
2018	01	ald25_54	342	267
2018	01	ald25_54	343	207
2018	01	ald25_54	351	665
2018	01	ald25_54	352	37
2018	01	ald25_54	411	2223
2018	01	ald25_54	413	15
2018	01	ald25_54	421	66
2018	01	ald25_54	422	794
2018	01	ald25_54	431	749
2018	01	ald25_54	432	2554
2018	01	ald25_54	441	159
2018	01	ald25_54	511	172
2018	01	ald25_54	512	506
2018	01	ald25_54	513	492
2018	01	ald25_54	514	419
2018	01	ald25_54	515	708
2018	01	ald25_54	516	134
2018	01	ald25_54	521	18
2018	01	ald25_54	522	4582
2018	01	ald25_54	523	17
2018	01	ald25_54	524	646
2018	01	ald25_54	531	3569
2018	01	ald25_54	532	5827
2018	01	ald25_54	541	996
2018	01	ald25_54	611	216
2018	01	ald25_54	612	71
2018	01	ald25_54	613	97
2018	01	ald25_54	621	17
2018	01	ald25_54	622	5
2018	01	ald25_54	711	2391
2018	01	ald25_54	712	1287
2018	01	ald25_54	713	426
2018	01	ald25_54	721	709
2018	01	ald25_54	722	164
2018	01	ald25_54	723	1504
2018	01	ald25_54	731	65
2018	01	ald25_54	732	151
2018	01	ald25_54	741	1233
2018	01	ald25_54	742	122
2018	01	ald25_54	751	128
2018	01	ald25_54	752	96
2018	01	ald25_54	753	26
2018	01	ald25_54	754	73
2018	01	ald25_54	811	277
2018	01	ald25_54	812	259
2018	01	ald25_54	813	712
2018	01	ald25_54	814	293
2018	01	ald25_54	815	221
2018	01	ald25_54	816	1251
2018	01	ald25_54	817	291
2018	01	ald25_54	818	221
2018	01	ald25_54	821	499
2018	01	ald25_54	831	120
2018	01	ald25_54	832	394
2018	01	ald25_54	833	1487
2018	01	ald25_54	834	823
2018	01	ald25_54	835	37
2018	01	ald25_54	911	1902
2018	01	ald25_54	912	157
2018	01	ald25_54	921	82
2018	01	ald25_54	931	710
2018	01	ald25_54	932	289
2018	01	ald25_54	933	155
2018	01	ald25_54	941	465
2018	01	ald25_54	951	7
2018	01	ald25_54	961	276
2018	01	ald25_54	962	166
2018	01	ald55_66	000	158
2018	01	ald55_66	011	64
2018	01	ald55_66	031	5
2018	01	ald55_66	111	65
2018	01	ald55_66	112	590
2018	01	ald55_66	121	480
2018	01	ald55_66	122	237
2018	01	ald55_66	131	8
2018	01	ald55_66	132	523
2018	01	ald55_66	133	47
2018	01	ald55_66	134	585
2018	01	ald55_66	141	19
2018	01	ald55_66	142	305
2018	01	ald55_66	143	38
2018	01	ald55_66	211	8
2018	01	ald55_66	212	7
2018	01	ald55_66	213	5
2018	01	ald55_66	214	320
2018	01	ald55_66	215	47
2018	01	ald55_66	216	74
2018	01	ald55_66	221	131
2018	01	ald55_66	222	973
2018	01	ald55_66	225	11
2018	01	ald55_66	226	98
2018	01	ald55_66	231	156
2018	01	ald55_66	232	12
2018	01	ald55_66	233	414
2018	01	ald55_66	234	933
2018	01	ald55_66	235	94
2018	01	ald55_66	241	274
2018	01	ald55_66	242	928
2018	01	ald55_66	243	97
2018	01	ald55_66	251	268
2018	01	ald55_66	252	23
2018	01	ald55_66	261	51
2018	01	ald55_66	262	38
2018	01	ald55_66	263	221
2018	01	ald55_66	264	91
2018	01	ald55_66	265	25
2018	01	ald55_66	311	804
2018	01	ald55_66	312	200
2018	01	ald55_66	313	34
2018	01	ald55_66	314	53
2018	01	ald55_66	315	81
2018	01	ald55_66	321	123
2018	01	ald55_66	325	248
2018	01	ald55_66	331	425
2018	01	ald55_66	332	639
2018	01	ald55_66	333	142
2018	01	ald55_66	334	246
2018	01	ald55_66	335	390
2018	01	ald55_66	341	167
2018	01	ald55_66	342	24
2018	01	ald55_66	343	38
2018	01	ald55_66	351	141
2018	01	ald55_66	352	4
2018	01	ald55_66	411	915
2018	01	ald55_66	413	5
2018	01	ald55_66	421	45
2018	01	ald55_66	422	181
2018	01	ald55_66	431	341
2018	01	ald55_66	432	599
2018	01	ald55_66	441	119
2018	01	ald55_66	511	39
2018	01	ald55_66	512	88
2018	01	ald55_66	513	53
2018	01	ald55_66	514	36
2018	01	ald55_66	515	355
2018	01	ald55_66	516	41
2018	01	ald55_66	522	991
2018	01	ald55_66	524	85
2018	01	ald55_66	531	960
2018	01	ald55_66	532	1942
2018	01	ald55_66	541	145
2018	01	ald55_66	611	80
2018	01	ald55_66	612	11
2018	01	ald55_66	613	12
2018	01	ald55_66	621	5
2018	01	ald55_66	711	386
2018	01	ald55_66	712	204
2018	01	ald55_66	713	72
2018	01	ald55_66	721	212
2018	01	ald55_66	722	54
2018	01	ald55_66	723	378
2018	01	ald55_66	731	17
2018	01	ald55_66	732	50
2018	01	ald55_66	741	253
2018	01	ald55_66	742	62
2018	01	ald55_66	751	28
2018	01	ald55_66	752	14
2018	01	ald55_66	753	11
2018	01	ald55_66	754	24
2018	01	ald55_66	811	116
2018	01	ald55_66	812	92
2018	01	ald55_66	813	165
2018	01	ald55_66	814	121
2018	01	ald55_66	815	71
2018	01	ald55_66	816	307
2018	01	ald55_66	817	93
2018	01	ald55_66	818	75
2018	01	ald55_66	821	111
2018	01	ald55_66	831	37
2018	01	ald55_66	832	150
2018	01	ald55_66	833	651
2018	01	ald55_66	834	283
2018	01	ald55_66	835	10
2018	01	ald55_66	911	625
2018	01	ald55_66	912	17
2018	01	ald55_66	921	27
2018	01	ald55_66	931	156
2018	01	ald55_66	932	47
2018	01	ald55_66	933	28
2018	01	ald55_66	941	128
2018	01	ald55_66	961	64
2018	01	ald55_66	962	45
2018	01	ald67_74	000	109
2018	01	ald67_74	111	32
2018	01	ald67_74	112	87
2018	01	ald67_74	121	47
2018	01	ald67_74	122	9
2018	01	ald67_74	132	58
2018	01	ald67_74	134	31
2018	01	ald67_74	142	29
2018	01	ald67_74	143	4
2018	01	ald67_74	214	35
2018	01	ald67_74	215	7
2018	01	ald67_74	216	10
2018	01	ald67_74	221	26
2018	01	ald67_74	222	65
2018	01	ald67_74	226	9
2018	01	ald67_74	231	32
