STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_2	ANTALL
2020	03	ald15_24	00	85
2020	03	ald15_24	01	25
2020	03	ald15_24	02	35
2020	03	ald15_24	03	756
2020	03	ald15_24	11	99
2020	03	ald15_24	12	63
2020	03	ald15_24	13	35
2020	03	ald15_24	14	162
2020	03	ald15_24	21	233
2020	03	ald15_24	22	993
2020	03	ald15_24	23	1706
2020	03	ald15_24	24	824
2020	03	ald15_24	25	540
2020	03	ald15_24	26	523
2020	03	ald15_24	31	215
2020	03	ald15_24	32	348
2020	03	ald15_24	33	1530
2020	03	ald15_24	34	1241
2020	03	ald15_24	35	496
2020	03	ald15_24	41	1408
2020	03	ald15_24	42	927
2020	03	ald15_24	43	1224
2020	03	ald15_24	44	88
2020	03	ald15_24	51	2509
2020	03	ald15_24	52	9447
2020	03	ald15_24	53	6586
2020	03	ald15_24	54	501
2020	03	ald15_24	61	53
2020	03	ald15_24	62	7
2020	03	ald15_24	71	726
2020	03	ald15_24	72	323
2020	03	ald15_24	73	36
2020	03	ald15_24	74	888
2020	03	ald15_24	75	85
2020	03	ald15_24	81	234
2020	03	ald15_24	82	11
2020	03	ald15_24	83	357
2020	03	ald15_24	91	549
2020	03	ald15_24	92	54
2020	03	ald15_24	93	425
2020	03	ald15_24	94	514
2020	03	ald15_24	96	334
2020	03	ald25_54	00	992
2020	03	ald25_54	01	939
2020	03	ald25_54	02	83
2020	03	ald25_54	03	118
2020	03	ald25_54	11	4895
2020	03	ald25_54	12	8829
2020	03	ald25_54	13	7280
2020	03	ald25_54	14	4062
2020	03	ald25_54	21	13658
2020	03	ald25_54	22	16039
2020	03	ald25_54	23	18753
2020	03	ald25_54	24	32076
2020	03	ald25_54	25	13919
2020	03	ald25_54	26	13832
2020	03	ald25_54	31	8007
2020	03	ald25_54	32	3405
2020	03	ald25_54	33	23044
2020	03	ald25_54	34	4154
2020	03	ald25_54	35	5018
2020	03	ald25_54	41	6470
2020	03	ald25_54	42	3229
2020	03	ald25_54	43	7303
2020	03	ald25_54	44	426
2020	03	ald25_54	51	8675
2020	03	ald25_54	52	11504
2020	03	ald25_54	53	16299
2020	03	ald25_54	54	1929
2020	03	ald25_54	61	215
2020	03	ald25_54	62	19
2020	03	ald25_54	71	6054
2020	03	ald25_54	72	1292
2020	03	ald25_54	73	314
2020	03	ald25_54	74	2010
2020	03	ald25_54	75	608
2020	03	ald25_54	81	1451
2020	03	ald25_54	82	80
2020	03	ald25_54	83	4238
2020	03	ald25_54	91	5287
2020	03	ald25_54	92	51
2020	03	ald25_54	93	1444
2020	03	ald25_54	94	1830
2020	03	ald25_54	95	22
2020	03	ald25_54	96	798
2020	03	ald55_66	00	99
2020	03	ald55_66	01	60
2020	03	ald55_66	03	6
2020	03	ald55_66	11	1975
2020	03	ald55_66	12	2641
2020	03	ald55_66	13	2544
2020	03	ald55_66	14	657
2020	03	ald55_66	21	2055
2020	03	ald55_66	22	2748
2020	03	ald55_66	23	3177
2020	03	ald55_66	24	6160
2020	03	ald55_66	25	1498
2020	03	ald55_66	26	1963
2020	03	ald55_66	31	1547
2020	03	ald55_66	32	681
2020	03	ald55_66	33	4277
2020	03	ald55_66	34	624
2020	03	ald55_66	35	556
2020	03	ald55_66	41	1383
2020	03	ald55_66	42	531
2020	03	ald55_66	43	1480
2020	03	ald55_66	44	164
2020	03	ald55_66	51	1345
2020	03	ald55_66	52	940
2020	03	ald55_66	53	3027
2020	03	ald55_66	54	174
2020	03	ald55_66	61	47
2020	03	ald55_66	62	5
2020	03	ald55_66	71	925
2020	03	ald55_66	72	247
2020	03	ald55_66	73	102
2020	03	ald55_66	74	320
2020	03	ald55_66	75	110
2020	03	ald55_66	81	349
2020	03	ald55_66	82	22
2020	03	ald55_66	83	1012
2020	03	ald55_66	91	1097
2020	03	ald55_66	92	11
2020	03	ald55_66	93	180
2020	03	ald55_66	94	285
2020	03	ald55_66	96	152
2020	03	ald67_74	00	29
2020	03	ald67_74	11	271
2020	03	ald67_74	12	224
2020	03	ald67_74	13	183
2020	03	ald67_74	14	80
2020	03	ald67_74	21	283
2020	03	ald67_74	22	318
2020	03	ald67_74	23	379
2020	03	ald67_74	24	485
2020	03	ald67_74	25	57
2020	03	ald67_74	26	291
2020	03	ald67_74	31	145
2020	03	ald67_74	32	47
2020	03	ald67_74	33	317
2020	03	ald67_74	34	55
2020	03	ald67_74	35	41
2020	03	ald67_74	41	184
2020	03	ald67_74	42	56
2020	03	ald67_74	43	114
2020	03	ald67_74	44	9
2020	03	ald67_74	51	144
2020	03	ald67_74	52	109
2020	03	ald67_74	53	253
2020	03	ald67_74	54	13
2020	03	ald67_74	61	7
2020	03	ald67_74	71	59
2020	03	ald67_74	72	23
2020	03	ald67_74	73	12
2020	03	ald67_74	74	28
2020	03	ald67_74	75	7
2020	03	ald67_74	81	27
2020	03	ald67_74	83	129
2020	03	ald67_74	91	78
2020	03	ald67_74	93	20
2020	03	ald67_74	94	13
